timestamp,query,response_time_ms,confidence,relevant_docs,success
2025-10-26T22:04:43.871343,How do I navigate browsers,1675,0.7318856118646897,6,True
2025-10-26T21:04:43.873351,How do I use selenium,1502,0.7281592750127747,2,True
2025-10-26T20:04:43.873351,How do I open tabs,1228,0.6617132856582641,5,False
2025-10-26T19:04:43.873351,How do I click elements,2069,0.635968542985104,4,True
2025-10-26T18:04:43.873351,How do I find elements,2185,0.844290912833788,2,True
2025-10-26T17:04:43.873351,How do I navigate browsers,1053,0.7237702468828145,3,True
2025-10-26T16:04:43.873351,How do I use selenium,1876,0.7043763699363073,6,False
2025-10-26T15:04:43.873351,How do I open tabs,2433,0.8841791318444967,2,True
2025-10-26T14:04:43.873351,How do I click elements,2148,0.7225116759638682,6,True
2025-10-26T13:04:43.873351,How do I find elements,1192,0.6168669568433319,6,False
2025-10-26T12:04:43.873351,How do I navigate browsers,2176,0.8068103812416482,4,True
2025-10-26T11:04:43.873351,How do I use selenium,864,0.6824351356781169,2,True
2025-10-26T10:04:43.873351,How do I open tabs,2156,0.7172175385020608,2,False
2025-10-26T09:04:43.873351,How do I click elements,1874,0.7233598018434099,7,True
2025-10-26T08:04:43.873351,How do I find elements,1113,0.6420850741377854,3,True
2025-10-26T07:04:43.873351,How do I navigate browsers,1994,0.7189874934856944,4,True
2025-10-26T06:04:43.873351,How do I use selenium,2330,0.7916635574306865,4,True
2025-10-26T05:04:43.873351,How do I open tabs,1310,0.7914023133816281,4,True
2025-10-26T04:04:43.873351,How do I click elements,1682,0.9199328462410682,4,True
2025-10-26T03:04:43.873351,How do I find elements,1779,0.7050438627791958,6,True
2025-10-26T02:04:43.873351,How do I navigate browsers,1501,0.6242700451510321,6,True
2025-10-26T01:04:43.873351,How do I use selenium,1232,0.7119333134742094,5,True
2025-10-26T00:04:43.873351,How do I open tabs,1842,0.6944055060007092,7,True
2025-10-25T23:04:43.873351,How do I click elements,1165,0.9339029342359939,7,True
2025-10-25T22:04:43.873351,How do I find elements,1419,0.6287129781733418,3,True
2025-10-25T21:04:43.873351,How do I navigate browsers,1185,0.6594156858528638,3,True
2025-10-25T20:04:43.873351,How do I use selenium,1555,0.883846768720876,3,True
2025-10-25T19:04:43.874352,How do I open tabs,2128,0.9498877333305289,7,True
2025-10-25T18:04:43.874352,How do I click elements,1051,0.6426937787765965,6,False
2025-10-25T17:04:43.874352,How do I find elements,2020,0.86252999648374,2,True
2025-10-25T16:04:43.874352,How do I navigate browsers,977,0.919061447441065,3,True
2025-10-25T15:04:43.874352,How do I use selenium,1116,0.7299248930010594,4,False
2025-10-25T14:04:43.874352,How do I open tabs,2426,0.7199010134372217,2,True
2025-10-25T13:04:43.874352,How do I click elements,2234,0.869737052610315,3,True
2025-10-25T12:04:43.874352,How do I find elements,1242,0.7403949197046922,3,True
2025-10-25T11:04:43.874352,How do I navigate browsers,2128,0.818062353552444,7,True
2025-10-25T10:04:43.874352,How do I use selenium,1262,0.7427511760536851,5,True
2025-10-25T09:04:43.874352,How do I open tabs,2197,0.7287833901389837,3,True
2025-10-25T08:04:43.874352,How do I click elements,1374,0.6483718473086474,7,True
2025-10-25T07:04:43.874352,How do I find elements,809,0.798848277485744,3,True
2025-10-25T06:04:43.874352,How do I navigate browsers,852,0.7286913429137433,4,True
2025-10-25T05:04:43.874352,How do I use selenium,1665,0.7300678018290873,6,False
2025-10-25T04:04:43.874352,How do I open tabs,1154,0.6387561094151859,3,True
2025-10-25T03:04:43.874352,How do I click elements,1931,0.891158595506513,3,True
2025-10-25T02:04:43.874352,How do I find elements,1329,0.6536776371720762,5,True
2025-10-25T01:04:43.874352,How do I navigate browsers,2400,0.6533686584016625,7,True
2025-10-25T00:04:43.874352,How do I use selenium,1845,0.9323377019017538,6,False
2025-10-24T23:04:43.874352,How do I open tabs,1439,0.8095359452282407,2,True
2025-10-24T22:04:43.874352,How do I click elements,1363,0.6884097535762763,3,True
2025-10-24T21:04:43.874352,How do I find elements,2077,0.6703091197185368,4,True
